Player,469,655
GhostPink,374,362
GhostBlue,225,110
GhostGreen,922,412
GhostPink,272,412
Pizza,374,512
Pizza,75,260
Pizza,922,110
Pellet,174,662
Tram,12,50
Tram,12,100
Tram,12,150
Tram,12,200
Tram,12,250
Tram,12,300
Tram,12,350
Tram,12,400
Tram,12,450
Tram,12,500
Tram,12,550
Tram,12,600
Tram,12,650
Tram,12,700
Tram,62,700
Tram,112,700
Tram,162,700
Tram,212,700
Tram,262,700
Tram,312,700
Tram,362,700
Tram,412,700
Tram,462,700
Tram,512,700
Tram,562,700
Tram,612,700
Tram,662,700
Tram,712,700
Tram,762,700
Tram,812,700
Tram,862,700
Tram,912,700
Tram,962,700
Tram,62,50
Tram,112,50
Tram,162,50
Tram,212,50
Tram,262,50
Tram,312,50
Tram,362,50
Tram,412,50
Tram,462,50
Tram,512,50
Tram,562,50
Tram,612,50
Tram,662,50
Tram,712,50
Tram,762,50
Tram,812,50
Tram,862,50
Tram,912,50
Tram,962,50
Tram,962,100
Tram,962,150
Tram,962,200
Tram,962,250
Tram,962,300
Tram,962,350
Tram,962,400
Tram,962,450
Tram,962,500
Tram,962,550
Tram,962,600
Tram,962,650
Tram,962,700
Tram,112,100
Tram,162,100
Tram,112,150
Tram,162,150
Tram,112,200
Tram,162,200
Tram,812,150
Tram,862,150
Tram,812,200
Tram,862,200
Tram,862,100
Tram,812,100
Tram,462,150
Tram,512,150
Tram,462,200
Tram,512,200
Tram,262,150
Tram,312,150
Tram,362,150
Tram,262,200
Tram,312,200
Tram,362,200
Tram,612,150
Tram,662,150
Tram,612,200
Tram,662,200
Tram,712,200
Tram,712,150
Tram,112,300
Tram,162,300
Tram,212,300
Tram,112,350
Tram,162,350
Tram,212,350
Tram,762,300
Tram,812,300
Tram,862,300
Tram,762,350
Tram,812,350
Tram,862,350
Tram,462,300
Tram,512,300
Tram,612,300
Tram,662,300
Tram,662,350
Tram,662,400
Tram,662,450
Tram,662,500
Tram,312,300
Tram,362,300
Tram,312,350
Tram,312,400
Tram,312,450
Tram,312,500
Tram,412,400
Tram,412,450
Tram,412,500
Tram,462,500
Tram,512,500
Tram,562,500
Tram,562,450
Tram,562,400
Tram,112,450
Tram,112,500
Tram,112,550
Tram,112,600
Tram,162,450
Tram,212,450
Tram,862,450
Tram,862,500
Tram,862,550
Tram,862,600
Tram,812,450
Tram,762,450
Tram,762,600
Tram,762,550
Tram,712,600
Tram,662,600
Tram,612,600
Tram,212,600
Tram,212,550
Tram,262,600
Tram,312,600
Tram,362,600
Tram,462,600
Tram,512,600
Dot,74,112
Dot,74,162
Dot,74,212
Dot,74,312
Dot,74,362
Dot,74,412
Dot,74,462
Dot,74,512
Dot,74,562
Dot,74,612
Dot,74,662
Dot,274,112
Dot,324,112
Dot,374,112
Dot,424,112
Dot,474,112
Dot,524,112
Dot,574,112
Dot,624,112
Dot,674,112
Dot,724,112
Dot,774,112
Dot,924,662
Dot,874,662
Dot,824,662
Dot,774,662
Dot,724,662
Dot,674,662
Dot,624,662
Dot,574,662
Dot,524,662
Dot,424,662
Dot,374,662
Dot,324,662
Dot,274,662
Dot,224,662
Dot,124,662
Dot,924,462
Dot,924,512
Dot,924,562
Dot,924,612
Dot,924,662
Dot,74,162
Dot,74,212
Dot,424,162
Dot,424,212
Dot,574,162
Dot,574,212
Dot,774,162
Dot,774,212
Dot,124,262
Dot,174,262
Dot,224,262
Dot,274,262
Dot,324,262
Dot,374,262
Dot,424,262
Dot,574,262
Dot,624,262
Dot,674,262
Dot,724,262
Dot,774,262
Dot,824,262
Dot,874,262
Dot,524,262
Dot,474,262
Dot,274,312
Dot,274,362
Dot,274,462
Dot,274,512
Dot,274,562
Dot,324,562
Dot,374,562
Dot,424,562
Dot,474,562
Dot,524,562
Dot,574,562
Dot,624,562
Dot,674,562
Dot,724,562
Dot,724,512
Dot,724,462
Dot,724,412
Dot,724,362
Dot,724,312
Dot,224,412
Dot,174,412
Dot,124,412
Dot,774,512
Dot,824,512
Dot,824,562
Dot,824,612
Dot,224,512
Dot,174,512
Dot,174,562
Dot,174,612
Dot,424,612
Dot,574,612
Dot,474,412
Dot,524,462
Dot,524,412
Dot,374,462
Dot,374,412
Dot,424,362
Dot,474,362
Dot,524,362
